     mag        RA       DEC         x         y         z        vx        vy        vz 
   24.28    255.38    -12.62     -25.1    -106.3     -23.1      -4.4     -13.8      -0.3 
   24.26     259.7    -10.94     -19.6    -108.1     -21.9      -2.7     -17.9      -1.0 
   24.19     260.4      -6.2     -16.4    -109.3     -12.2      -5.3     -14.0      -1.2 
   23.55     260.4    -14.24     -18.0    -105.6     -25.9      -3.4     -14.4       0.9 
   20.69    259.66     -5.49     -18.7    -101.7      -9.8      -5.3     -21.5      -1.8 
   19.27    250.49     -9.71     -34.6     -95.0     -17.8      -6.6     -16.1      -0.6 
   23.92    251.58     -9.16     -35.7     -98.0     -19.0      -5.7     -13.5      -1.6 
   23.88    256.88     -9.28     -25.7    -104.9     -18.1      -5.0     -17.6       1.9 
    24.2    256.67     -9.07     -22.0    -100.9     -16.7      -5.3     -14.3      -3.0 
   24.26    254.28     -8.32     -27.6    -108.1     -15.8      -7.8     -12.8      -2.8 
   22.36    252.64     -9.21     -32.6     -96.3     -16.3      -6.8     -16.0       2.4 
   24.38    257.38      -9.6     -23.0    -106.9     -17.2      -7.1     -15.8      -0.7 
    24.4    257.06     -1.68     -24.9    -108.5      -3.2      -4.8     -16.5       0.8 
   23.61    259.14     -8.11     -20.4    -101.3     -16.2      -3.8     -16.5      -3.8 
   23.64    257.07    -10.03     -22.4    -104.1     -17.4      -3.2     -15.4      -0.7 
   24.26    259.64     -6.55     -20.5    -105.7     -12.3      -4.3     -15.3       3.9 
   24.31    260.82    -10.41     -16.5     -99.9     -19.6      -4.2     -11.8       0.1 
   24.19    259.28     -15.8     -19.9    -103.6     -27.0      -5.5     -15.9      -1.1 
   20.29    255.22     -7.04     -27.6     -97.6     -13.2      -6.2     -13.5       2.7 
   24.41    258.24     -8.48     -21.0     -98.3     -16.9      -6.8     -15.9       1.6 
   24.34    254.79     -9.83     -25.6    -105.5     -18.6      -3.7     -16.9       1.5 
   24.08    254.14     -6.17     -31.8    -105.6     -12.0      -1.3     -11.5      -0.5 
    24.2    258.35     -9.93     -23.5    -112.0     -17.1      -2.1     -15.9      -3.4 
   24.21    258.95     -5.58     -21.2    -107.7     -10.2      -5.3     -16.1      -1.7 
   24.28    258.34     -7.93     -21.5    -105.1     -14.6      -2.8     -16.2       0.3 
   24.17    256.03     -8.01     -25.2     -95.0     -15.3      -2.5     -16.0      -2.4 
   24.15    251.69     -9.49     -36.8    -102.8     -17.0      -6.6     -15.3      -2.4 
   24.38    258.97     -7.98     -21.9    -105.6     -15.0      -0.4     -15.7      -1.5 
   24.19    254.86    -12.39     -28.9    -100.8     -20.8      -3.2     -14.4      -0.2 
   24.15    254.95     -2.98     -28.0     -97.9      -5.5      -4.1     -15.6       0.2 
   24.14    255.25    -12.66     -28.9     -97.2     -22.5      -4.2     -16.7      -0.8 
   24.12    256.05     -9.32     -27.1    -103.0     -17.7      -8.8     -13.0      -1.5 
   23.59    257.89     -11.0     -21.9    -106.7     -21.2      -1.6     -14.7       3.2 
   24.34     254.9    -10.66     -28.6    -104.8     -17.8      -1.5     -15.7      -5.1 
    24.3    255.75     -8.42     -23.6     -99.0     -14.5      -9.4     -19.2      -0.1 
   23.83    254.07    -10.77     -30.7     -93.0     -21.4      -1.1     -12.9      -0.8 
   21.34    257.48     -6.34     -23.7    -102.5     -11.1      -4.7     -13.5       3.8 
   23.82    262.33     -9.69     -13.5    -103.5     -18.3       0.4     -16.8       2.5 
   24.41    254.38    -10.55     -29.7     -98.1     -19.4      -4.8     -20.2       0.2 
   23.37    259.49     -8.04     -21.2    -106.0     -15.4      -4.3     -19.7       4.1 
   23.67    256.33      -9.3     -24.4    -101.4     -18.1      -4.7     -16.1      -1.1 
    24.0     251.9    -10.27     -34.4     -96.6     -17.7      -1.4     -16.3       1.9 
   24.12    254.86     -8.72     -26.1    -101.1     -16.4      -6.1     -19.5      -1.7 
   24.21    253.69     -6.23     -31.6    -104.3     -12.0     -10.5      -9.9      -0.3 
   24.28    258.18    -12.28     -21.7    -112.3     -24.6      -4.2     -16.9      -2.9 
   24.13    258.42      -4.8     -21.8     -99.4      -9.1      -4.6     -16.1      -0.9 
   24.19    260.97    -11.22     -16.9    -103.7     -22.9      -4.2     -15.1      -6.1 
   23.84    256.77    -11.48     -25.5    -109.9     -22.5      -8.1     -14.1      -0.6 
   24.35    253.52     -9.31     -30.9    -100.8     -18.8      -5.4     -16.4      -3.9 
   24.38    256.15      -9.1     -25.4     -99.2     -17.4      -0.4     -14.2      -1.3 
   24.23     257.5     -9.53     -24.2     -96.7     -17.4      -1.3     -16.9       1.0 
   24.21    255.03     -3.77     -24.9    -100.2      -6.3      -4.9     -15.3      -0.3 
   21.99    256.41      -7.4     -25.1    -108.3     -13.5      -1.1     -14.7      -1.7 
   23.89     255.8    -16.04     -26.6    -101.5     -29.7      -3.6     -14.2       1.4 
   24.34    252.64     -8.83     -30.0    -107.2     -16.5      -0.3     -17.0      -1.3 
   23.87    259.45     -5.97     -20.5    -109.5     -11.4      -5.9     -16.6      -1.1 
   24.23    254.07      -6.2     -31.2    -102.1     -11.8      -6.1     -12.2       3.1 
   24.08    257.83     -5.05     -23.7    -103.4      -9.3      -1.8     -14.3       0.2 
   24.04    253.89     -8.33     -29.9    -110.7     -15.0      -6.8     -13.7       0.4 
    24.1    259.63    -13.31     -19.1    -103.5     -26.4      -6.3     -15.1      -1.8 
    24.4    258.25    -10.24     -23.1     -93.4     -20.0      -4.4     -17.3       2.0 
    24.4    258.45      -9.1     -20.2    -100.5     -17.2      -1.4     -15.4      -3.1 
   24.36    259.33    -10.19     -19.6    -107.9     -20.6      -5.4     -13.7       0.3 
   24.27    256.53     -12.1     -24.1    -100.8     -24.6      -4.4     -14.8       0.6 
   24.37    255.89     -5.41     -23.4    -107.8      -9.9      -6.6     -16.3       0.1 
   23.84    256.87     -8.97     -24.5    -101.4     -17.3      -6.6     -14.3      -1.7 
   24.19    258.99     -8.28     -20.9    -108.0     -15.9      -6.7     -17.2      -1.9 
   20.96    252.78     -7.65     -32.2    -103.4     -14.0      -4.6     -16.9      -2.6 
   24.42    257.87     -12.3     -21.9    -101.6     -23.2      -5.0     -17.6       3.3 
   24.02    256.42    -11.68     -27.6     -99.9     -21.0      -1.4     -18.3      -1.2 
   21.95    257.39    -17.27     -23.1    -108.4     -33.1      -1.6     -17.5      -2.0 
   24.03    256.23     -5.96     -26.6    -109.5     -12.6      -3.6     -15.1       2.0 
   24.31    256.85     -7.86     -22.4    -101.2     -14.3      -4.5     -14.7      -2.9 
   24.31     254.6     -5.78     -29.2    -105.3     -11.9      -4.0     -16.5       0.8 
   23.92    256.13     -9.29     -25.7    -109.3     -18.3      -2.3     -14.8      -2.8 
   24.24     260.8     -7.89     -17.2    -105.6     -14.3      -2.9     -17.1      -6.0 
   24.38    255.45    -10.18     -27.8    -104.7     -19.2      -2.1     -12.4       0.8 
   24.18    255.97     -8.87     -26.2    -109.9     -16.5      -2.9     -17.9      -1.7 
   23.59    254.71    -11.89     -27.5     -97.0     -23.5      -2.7     -14.8      -2.7 
   24.04    253.78     -7.35     -31.3    -105.7     -13.6      -6.8     -15.6       2.4 
   23.88    255.39    -10.21     -26.7    -103.3     -19.9      -3.4     -16.7      -2.6 
   24.41    256.98      -5.6     -25.5    -105.0     -10.3      -6.8     -18.4      -0.7 
   23.34     255.3     -4.27     -27.5    -105.1      -7.8      -2.7     -20.1      -0.4 
   24.38    258.67    -10.38     -21.2     -99.4     -18.7      -4.2     -19.1      -1.9 
   24.41    262.34    -14.23     -13.8    -105.9     -25.9      -3.4     -17.8       3.3 
   24.36    257.22     -8.96     -22.9    -104.4     -17.4      -5.4     -10.9       0.1 
   24.39    256.24     -9.19     -22.4    -117.5     -16.3      -4.6     -14.7       1.2 
   24.34    252.96     -8.42     -31.6    -102.3     -15.8      -2.1     -14.9       1.4 
   24.42    257.56     -9.43     -19.5     -97.1     -18.1      -2.3     -15.6       1.3 
   21.12    257.66    -12.85     -23.3    -104.9     -22.5      -2.0     -14.0      -0.1 
   23.67    255.36      -7.1     -29.5     -99.3     -13.2      -4.5     -20.0       0.7 
   24.42    259.13     -8.25     -20.3    -109.3     -14.5      -2.4     -16.9      -2.0 
   24.16    256.58     -5.82     -27.0    -109.7     -11.1      -2.6     -13.2       0.8 
   23.91    257.31    -11.65     -23.7     -98.6     -21.2      -5.9     -15.3      -2.8 
   24.13    252.07     -8.69     -36.2    -110.0     -16.3      -7.7     -17.1       0.7 
   24.34    258.39    -12.43     -22.6     -97.0     -24.9      -4.7     -15.9       0.2 
    24.3    256.81    -11.58     -24.2    -102.1     -22.2      -4.5     -13.6       2.1 
   24.36    256.61    -14.59     -22.4    -100.6     -25.9      -3.6     -19.0      -1.7 
   24.36    255.81     -5.45     -26.8    -109.9      -9.7      -0.7     -12.7       1.4 
    24.3    253.34     -7.16     -30.0     -98.3     -12.5      -2.8     -13.5       0.4 
   24.34    260.41     -8.98     -15.8     -97.7     -17.3      -4.6     -13.6       1.0 
   24.41    258.97     -9.82     -20.9     -99.8     -18.2      -2.1     -15.7      -0.5 
   24.27    256.99    -12.18     -20.2    -100.1     -22.8      -5.3     -13.0       1.0 
   24.03    251.28     -6.88     -37.0     -99.8     -12.1      -3.3     -13.6      -2.0 
   23.79     258.0     -8.03     -21.4    -104.3     -14.6      -6.6     -17.8       0.1 
   23.77    258.71    -11.69     -18.2    -105.4     -21.5      -5.0     -18.4       0.7 
    24.3    258.78     -8.89     -21.6     -98.7     -15.8      -3.8     -17.1      -1.3 
   24.34     258.1     -9.82     -21.6    -112.0     -18.1      -4.0     -17.6      -2.7 
   24.09    254.63     -8.29     -27.5    -108.3     -15.4      -8.0     -16.8      -1.1 
   23.79     254.4     -4.92     -30.8    -109.5      -9.0      -1.0     -16.3       0.7 
   24.39    254.27     -5.42     -27.4    -105.7     -10.3      -6.4     -13.2      -1.4 
   23.98    263.71     -7.13     -12.6    -101.9     -13.1      -4.7     -18.2      -5.6 
   21.07    258.86     -9.42     -21.8    -107.1     -17.6      -5.3     -13.8      -3.3 
   24.23     258.2     -8.16     -22.6    -104.4     -14.9      -3.6     -16.6      -0.6 
   24.17    256.73     -3.86     -25.4    -109.8      -7.5      -3.7     -12.9       0.4 
   24.35    252.72     -4.13     -32.3    -107.1      -7.2      -8.2     -12.3       1.5 
   24.35    251.99     -7.61     -31.3    -114.2     -14.3      -4.3     -14.7      -0.5 
   24.15    253.97     -9.03     -29.4    -107.0     -17.6      -7.4     -16.6      -0.3 
   20.44    256.96     -7.59     -24.5    -106.7     -16.1      -4.2     -21.3      -1.1 
    24.4    254.94    -12.23     -27.5    -100.9     -21.7      -3.3     -19.5       2.3 
   24.26    256.64    -11.32     -25.7    -113.6     -22.1      -6.1     -18.3       0.3 
   24.12    257.31    -12.63     -22.8    -105.8     -22.7      -4.0     -17.7      -0.3 
   21.11    253.57    -10.37     -31.0     -94.4     -19.8      -7.0     -13.4      -0.8 
   23.91    254.12     -6.68     -28.8    -103.7     -14.1      -1.4     -15.6      -3.8 
   23.52    258.86    -11.82     -21.3     -95.8     -22.8      -1.7     -16.6      -1.2 
   24.35    255.45    -11.49     -28.0    -107.3     -22.0      -1.5     -17.9       1.1 
   24.04     257.5     -8.23     -22.1    -100.1     -15.3      -1.7     -16.7      -0.9 
   24.01    250.04     -5.19     -38.4    -102.3      -9.3      -2.2     -21.0      -1.5 
   24.29    259.67    -12.76     -18.7    -105.6     -25.7      -7.8     -15.0      -1.5 
   24.27    254.31     -13.5     -30.2    -106.0     -26.0      -3.1     -17.3      -1.3 
    24.4    258.83     -9.63     -20.7    -101.4     -18.1      -6.1     -13.3      -1.2 
   21.76    252.34     -5.32     -33.0     -97.5     -10.7      -4.9     -14.1       1.3 
   24.02    253.09     -7.21     -30.7    -110.1     -12.8      -1.5     -15.5       2.8 
   24.18    257.49    -11.71     -22.1     -98.9     -22.6      -6.4     -16.6       0.6 
   22.02    260.19    -12.21     -19.2    -109.0     -22.4      -3.8     -13.3       1.6 
   24.34     256.4     -6.82     -25.9     -98.6     -13.8      -1.8     -15.8      -1.9 
   24.18    258.63    -10.95     -22.1    -103.6     -19.7      -1.0     -16.5      -4.8 
   24.04    255.96      -9.1     -27.5    -102.2     -18.0      -5.1     -16.2      -0.6 
   24.26    259.66     -8.32     -18.4    -110.0     -16.1      -2.1     -19.3       1.6 
   24.17    254.32    -13.44     -26.7     -97.7     -23.0       1.6     -14.5       1.4 
   24.04    260.15     -7.68     -17.2    -107.9     -14.5      -5.6     -13.7       2.1 
   24.27    258.24     -9.58     -21.3    -104.5     -19.1      -2.4     -14.8      -1.6 
    24.0    254.54     -7.94     -28.2    -105.8     -14.2      -7.1     -18.9      -4.2 
   24.18    257.69     -2.07     -23.5    -106.6      -3.7      -3.4     -15.4      -2.6 
   24.13     255.4    -12.39     -28.7     -98.9     -23.2      -7.6     -15.9      -2.9 
   24.17    254.47    -10.83     -28.9    -107.4     -23.0      -3.4     -13.1      -0.7 
   24.12    259.35    -11.34     -18.0    -101.9     -20.0      -0.0     -12.3      -1.4 
    22.3    255.77    -11.63     -24.4    -102.0     -21.1      -5.5     -17.4      -1.1 
   20.87    253.49    -11.16     -30.1    -103.9     -18.8      -0.8     -15.8      -1.7 
   24.32    260.29    -10.08     -19.5    -104.8     -19.1      -4.0     -15.0       0.9 
   24.37     258.1    -11.78     -23.7    -103.2     -22.6      -4.5     -16.5      -0.9 
   23.98    252.64    -10.41     -34.1     -97.7     -19.2      -1.8     -16.0       2.7 
   23.68    258.88     -6.37     -21.3     -98.7     -13.1      -2.7     -15.8      -1.2 
   23.63     258.3    -10.91     -21.4    -105.6     -22.6      -5.0     -17.0      -4.8 
   24.03    254.56    -15.12     -29.9     -94.4     -27.5      -6.6     -18.6      -0.2 
    19.7    258.84    -12.17     -18.5    -103.4     -21.5      -6.3     -14.9       2.8 
   24.19    256.28     -8.74     -27.6     -94.6     -16.5      -5.3     -13.3       0.3 
   24.15    257.61    -12.81     -22.8    -103.3     -24.0      -1.4     -14.3      -0.1 
   24.23    255.47     -8.49     -28.1    -100.0     -16.5      -1.8     -16.7      -1.0 
   24.37    260.14      0.99     -17.8     -99.1       1.9      -3.6     -15.3      -0.8 
   24.37     260.9      -8.9     -17.7    -106.0     -18.2      -3.2     -13.2      -0.2 
   24.16     253.1     -8.59     -31.0    -112.6     -16.2      -6.7     -16.6      -3.4 
   24.14    256.68      -6.8     -24.0    -105.2     -13.3      -4.2     -17.9       1.7 
   24.39    259.82     -9.14     -20.5    -100.1     -16.3      -5.2     -15.6      -1.4 
   24.13    257.66     -8.15     -23.8    -101.8     -14.8      -3.4     -16.1       1.1 
   24.33    254.88     -7.33     -27.8     -99.5     -13.3      -5.7     -18.9      -3.4 
   24.33    258.01    -10.27     -21.9    -108.9     -18.6      -6.6     -12.6       1.3 
   21.38    252.72    -13.58     -29.8     -99.8     -27.6      -3.0     -17.1       0.5 
   24.39    256.63     -14.4     -25.1    -101.6     -28.0      -1.2     -16.1       5.0 
   24.85    253.75    -10.84     -32.4    -108.4     -20.7      -3.6     -16.7       2.4 
   24.38    253.58     -4.14     -31.3    -104.8      -7.7      -5.4     -17.0       0.3 
   24.41    254.26     -7.59     -32.5     -99.2     -15.5      -4.9     -16.2      -0.8 
   20.34    257.64     -9.94     -22.5    -104.0     -18.2      -5.8     -12.8       1.9 
    23.5    256.93    -11.83     -23.2     -96.8     -21.4      -4.9     -12.4      -4.1 
   24.36    255.27     -5.77     -27.9    -103.4     -11.3      -4.0     -14.5      -1.3 
   22.05    255.31     -8.06     -24.5     -97.2     -16.0      -5.3     -14.1       0.7 
   20.24    258.06    -11.91     -19.8    -101.8     -22.4      -8.3     -15.2      -2.8 
   24.31    254.15     -8.78     -30.3     -96.6     -16.9      -1.5     -11.1      -5.3 
   24.14    256.59      -9.8     -27.3     -94.0     -18.3      -4.2     -15.2      -1.7 
   24.14    254.72    -10.96     -29.9    -110.5     -21.2      -4.3     -17.1      -1.7 
   24.24    255.75     -9.49     -24.5     -95.6     -17.3      -7.0     -14.5       2.7 
   21.19    257.23     -8.65     -25.6    -108.7     -17.1      -5.1     -13.6      -0.9 
   24.41     256.0    -10.08     -25.4    -109.9     -17.8      -1.5     -13.6      -0.6 
   24.37    253.75     -5.91     -29.4    -107.9     -10.3      -6.5     -12.9       0.7 
   23.87    252.74     -8.35     -32.2    -104.3     -16.3      -5.1     -20.1       1.2 
   24.38    256.16     -9.63     -26.6    -106.3     -17.1      -2.0     -15.8      -0.1 
   23.96    255.79     -8.55     -25.2    -106.0     -16.7      -6.5     -17.9       1.0 
   24.39    256.29     -9.48     -23.2    -112.4     -15.4      -7.4     -14.1       3.7 
   24.31     253.4     -6.68     -32.5    -103.7     -11.9      -4.3     -15.4       0.1 
   23.39    258.64     -4.11     -22.2    -111.4      -7.9      -3.1     -16.1       0.1 
   24.25    257.23    -12.98     -22.0    -104.4     -23.7      -7.5     -16.4      -1.7 
   23.78    255.34     -9.51     -27.0    -105.8     -18.6      -3.4     -14.7      -2.5 
   22.53    260.71     -3.72     -16.1    -108.9      -6.9       2.2     -16.8      -0.2 
   21.94    255.16     -4.12     -27.7    -107.6      -7.6      -2.9     -15.0       0.7 
   23.97    261.03     -7.91     -16.2     -98.7     -14.8      -0.5     -16.2      -2.1 
   23.56    255.74     -5.42     -25.2    -103.7     -10.4      -1.9     -18.8       0.2 
   24.35    256.39     -6.23     -23.9    -104.4     -12.3      -2.4     -14.4       1.4 
   24.11    254.86     -7.05     -27.6    -103.6     -14.0      -8.5     -12.8       1.7 
   24.26    258.59     -8.63     -19.9    -105.4     -16.1      -2.2     -13.6       1.5 
   23.34     254.9     -9.79     -29.1     -99.9     -19.7      -5.1     -17.3       1.6 
   23.74    256.31     -9.45     -24.6    -111.3     -18.9      -7.0     -17.5      -0.7 
   24.35    256.28      -8.1     -25.7    -108.2     -14.8      -5.7     -15.1       0.0 
   23.82    256.02     -6.24     -27.1    -100.6     -11.1      -3.7     -17.6      -0.9 
   24.38    255.05     -9.71     -27.1    -110.4     -18.3      -3.8     -12.4       0.1 
    24.3    257.37     -9.98     -23.5    -101.2     -18.7      -6.8     -16.6       1.1 
   24.17     255.9     -9.22     -23.2     -99.1     -17.2      -5.5     -14.9       0.4 
   23.77    257.16     -5.22     -26.3     -99.5     -10.0      -8.4     -16.2       0.9 
   24.36    257.49      -8.6     -23.2     -97.5     -16.2      -4.7     -16.1       1.4 
   22.53    254.38     -8.46     -27.8    -103.3     -15.3      -2.6     -16.4      -5.0 
   24.16    255.77    -13.43     -26.5     -99.3     -26.9      -5.6     -18.8      -0.8 
   24.34    256.23     -9.15     -24.6    -100.2     -17.6      -0.6     -12.5       0.0 
   22.12    258.36     -9.24     -21.7    -102.4     -16.9      -9.2     -15.4      -2.2 
   23.96    253.27     -8.33     -29.5    -101.8     -16.1       0.2     -15.3       1.8 
   24.41    254.41    -10.59     -28.9    -102.3     -21.0      -5.4     -15.8      -1.3 
    24.0    259.67     -3.05     -19.0    -107.2      -5.5      -4.0     -18.1       1.5 
   24.38    261.55     -6.65     -14.9    -106.7     -12.4      -5.5     -17.9      -0.5 
   24.02    255.42     -6.55     -25.6    -104.0     -13.1      -2.6     -13.2      -1.5 
   21.69    257.94    -14.63     -22.3     -96.8     -27.3      -7.1     -15.8      -1.7 
    24.0    257.01     -12.2     -23.4    -102.0     -24.8      -2.2     -17.2      -0.3 
   24.26    257.72     -11.8     -23.2     -99.2     -22.0      -4.7     -14.0      -1.2 
    20.0    258.86     -8.93     -20.7    -111.6     -15.8      -3.4     -14.1      -0.3 
   24.17    256.88    -13.02     -23.9     -98.3     -24.3      -4.7     -13.8      -0.1 
   23.88    252.66     -4.89     -31.2    -102.5      -9.1      -4.4     -17.5       0.6 
    24.2    258.31    -11.33     -21.8    -108.5     -22.5      -2.8     -19.0      -0.8 
   24.14    257.42    -12.08     -22.8    -103.9     -22.3      -3.9     -14.5      -0.9 
   24.35    256.01     -6.11     -26.6    -103.2     -11.6      -4.5     -16.1       1.0 
   23.68    256.91     -7.24     -25.4    -111.9     -13.1      -5.1     -14.9      -1.4 
   22.29    254.13    -14.39     -27.5    -101.0     -28.3      -6.3     -15.6       0.8 
   24.21    256.95     -13.9     -24.5    -105.6     -28.5      -4.2     -15.9       3.0 
   24.36    257.41    -11.05     -25.1    -103.7     -20.2      -3.4     -18.0      -1.6 
    23.9    253.48     -8.65     -29.2    -103.1     -16.4      -6.6     -15.5       0.3 
   24.23    257.95    -12.42     -22.0    -105.1     -22.8      -2.6     -16.9      -0.8 
   24.14    261.04     -8.45     -16.9    -110.2     -14.8      -2.6     -13.4       2.3 
    24.3    256.03     -8.83     -25.7     -99.6     -14.7      -5.4     -16.1       0.7 
    24.0    263.08      -6.0     -14.3    -102.2     -11.0      -8.0     -16.5      -3.7 
   24.36    260.33     -7.31     -19.3    -101.2     -14.3      -2.7     -15.5       0.4 
   24.39     252.4     -7.73     -30.4     -96.4     -14.9      -3.8     -17.4      -1.6 
   24.02    255.75     -7.42     -27.6    -111.0     -13.7      -1.1     -15.5      -0.9 
   23.46    254.59     -9.38     -29.0     -97.2     -17.8      -5.7     -14.9       2.7 
   24.39     254.6     -7.79     -31.4    -101.3     -14.4      -2.4     -18.0       0.1 
   24.38    256.68     -7.06     -23.8    -113.8     -14.6      -2.0     -18.1      -7.0 
   21.73    256.29     -8.98     -25.6    -105.5     -16.5      -2.6     -17.0      -0.0 
   19.39    254.98    -10.11     -30.8     -99.5     -17.9      -3.9     -19.0      -3.4 
    24.1    257.21     -7.13     -24.2    -113.0     -13.6       0.1     -16.3       1.6 
   24.26    253.98    -12.03     -27.6    -105.8     -22.2      -2.7     -15.9      -0.1 
   24.35    255.76     -6.97     -27.9    -101.4     -13.1      -8.2     -15.5      -1.3 
   24.19    257.72     -7.44     -23.4     -96.7     -13.4      -4.9     -17.3       1.3 
   24.35    259.22     -6.95     -20.4    -105.4     -14.2      -6.8     -14.5      -3.8 
   24.22    255.92     -6.87     -27.9    -108.9     -12.1      -2.6     -14.6      -0.2 
   24.14    254.67     -6.69     -27.4    -103.6     -13.0      -1.2     -15.9      -0.6 
   23.98    251.65     -5.95     -33.0    -102.5     -11.5      -3.3     -18.5      -1.0 
   24.03    256.36    -11.07     -26.0    -100.4     -21.2      -4.4     -18.9       0.2 
   24.29    257.85     -9.78     -23.7    -104.7     -20.4     -10.6     -16.2       1.3 
   24.03     257.0    -12.31     -22.8     -99.6     -24.5      -4.4     -13.8       0.7 
   24.16    257.86     -9.16     -20.0    -104.6     -17.0      -5.2     -14.2       2.9 
   24.17    256.36     -8.88     -25.1    -104.0     -16.6      -0.0     -14.8      -1.9 
   23.76    252.23     -7.63     -33.4    -112.3     -15.1      -8.4     -15.2       3.7 
   24.34    257.45     -8.37     -23.5    -107.4     -15.8      -3.9     -12.3      -0.4 
   21.94    260.75     -6.29     -17.0    -104.4     -11.9      -2.4     -16.3      -3.7 
   23.77    258.05    -11.34     -22.6    -103.3     -19.8      -4.1     -17.1      -2.3 
   24.38    260.23    -11.46     -17.2    -116.0     -22.4      -5.4     -17.3      -4.0 
   24.12    256.71     -7.53     -23.5     -91.3     -14.0      -2.7     -17.7      -2.6 
   24.29    254.97     -7.09     -27.5     -93.5     -12.8      -4.0     -15.4       1.6 
   24.14    247.26     -8.51     -42.2    -101.9     -15.9      -5.7     -15.3      -0.7 
   23.98    254.37    -10.88     -30.4    -108.4     -21.7      -4.2     -17.4       1.3 
   24.28    251.82     -9.99     -29.9    -100.1     -17.7      -6.8     -14.7       0.2 
   24.04    255.61    -10.91     -26.5     -96.1     -21.5      -3.3     -15.5       1.8 
   24.06    253.12     -17.1     -29.1     -97.4     -31.2      -3.2     -12.4      -2.7 
   24.28     257.6      -7.3     -23.8    -105.2     -13.2      -2.8     -15.8      -1.1 
   24.13    255.42    -11.24     -24.8    -102.2     -22.0      -5.6     -12.9      -2.8 
   21.49    260.55     -8.48     -16.8    -100.7     -16.0      -1.4     -15.8      -0.8 
   22.57    252.73    -11.71     -31.4    -101.5     -23.2      -5.0     -13.1      -0.9 
   24.08    257.68     -9.21     -22.2    -101.9     -17.7      -2.5     -12.9       0.3 
    23.9    261.46     -8.13     -17.3    -106.5     -17.2      -3.9     -16.2      -1.2 
   23.66    260.47    -10.72     -18.1     -99.3     -20.9      -3.7     -19.1       2.6 
   24.36     257.9     -2.42     -21.5    -109.0      -4.6      -4.6     -16.3       0.9 
   23.81    260.79     -6.48     -17.4    -116.4     -12.8      -3.5     -18.4       1.1 
