     mag        RA       DEC         x         y         z        vx        vy        vz 
   23.49     71.29      7.95      30.2      83.4      14.3      12.8      24.1      -1.4 
   23.24     70.43      9.88      34.0      87.6      16.5       9.1      25.3      -0.6 
   23.42     76.45     11.97      22.0      84.2      18.8       8.8      24.4      -3.7 
   23.13     69.84     10.02      31.2      85.2      15.8       8.6      24.8      -3.1 
   23.25      79.4      8.02      15.9      91.8      14.4      10.2      21.0       0.2 
   23.54     75.68     10.75      20.4      85.1      17.9       6.2      22.6      -3.3 
   23.29     69.48     11.42      30.5      93.2      19.2       8.3      22.4      -1.6 
   23.68     68.73     10.56      35.2      90.5      15.7       5.0      24.6      -2.7 
   23.71     67.31     13.75      29.0      92.1      22.4       7.4      20.0      -6.8 
   23.66     72.55     12.28      27.0      86.2      18.5      12.4      22.8      -1.1 
   23.16     73.19      8.77      29.0      89.5      13.7       8.9      24.3      -3.2 
    23.6     75.19      5.37      26.0      86.9       9.0       8.8      19.6      -5.4 
   22.91      71.8     10.67      33.2      89.9      17.8       5.6      24.4      -3.2 
   23.41     67.01     12.66      35.0      81.0      20.3       9.2      26.4      -4.9 
    23.3     70.35      6.12      30.8      85.6       9.8      10.9      25.2      -1.9 
   23.62      67.7      13.2      32.7      95.5      22.1      10.8      24.6       0.3 
   23.65     72.27      9.02      28.3      90.6      14.0       7.6      22.8      -0.7 
   23.26      69.0     11.43      31.3      85.9      19.4      14.3      21.4      -0.6 
   23.06     65.65     11.49      36.3      78.9      18.0      10.2      23.6      -5.6 
   23.64     68.87      7.63      34.3      91.3      13.1       3.8      20.5      -3.8 
   23.71     73.67      8.62      24.4      92.8      14.0       9.6      26.2      -3.2 
   23.64      73.4      6.08      26.8      85.8      11.3      10.8      25.0      -4.8 
   21.88     68.21     11.98      36.7      81.9      21.2       8.0      19.9      -0.6 
   23.51     74.27     12.02      27.2      87.0      21.0      10.9      22.5      -3.7 
   23.03     72.51      7.35      29.2      86.4      12.6      10.1      24.0      -2.2 
   23.55     74.28      5.99      24.0      91.4      10.6       9.3      21.2      -1.4 
   21.28     69.72      7.03      34.4      89.8      11.9       7.2      22.9      -1.2 
   23.71     67.77      8.34      35.4      86.2      12.8       8.1      25.1      -0.2 
   23.71     75.35     10.35      22.1      93.3      15.9       9.9      22.4      -2.5 
   23.34     74.67     13.32      27.0      80.9      22.3       7.6      24.0      -4.4 
   23.13     73.96      8.16      26.2      94.8      14.8      10.6      22.1      -0.6 
   22.99     71.44     16.28      29.5      88.9      25.7       9.7      19.0       0.1 
   23.66     69.15      7.78      35.1      92.1      13.5       9.8      23.5      -0.5 
   23.53     70.85      9.91      27.8      89.6      16.2       9.0      18.8      -1.4 
    23.1     74.39      11.6      25.1      98.6      17.9       8.6      23.6       0.3 
   23.58     71.75     13.64      31.0      74.1      22.0       9.3      24.7      -2.1 
   23.12     71.75      13.3      28.6      87.7      21.2       7.9      23.2      -1.4 
   22.99     69.05      8.67      32.4      99.8      14.7      12.5      22.7      -3.3 
   20.71     73.35      5.73      25.8      92.4      10.1       6.0      20.3       0.3 
   23.64     71.24      6.76      31.3      89.6      11.4      10.2      24.4      -1.3 
    23.6      74.3      7.58      25.0      84.6      12.5       8.9      21.0      -4.3 
   23.74     77.29      4.99      20.7      95.1       8.8      10.6      23.8       0.8 
   23.72     76.07     10.38      21.9      94.3      16.7       6.2      24.8      -6.8 
   23.58     69.65     10.65      32.9      82.4      16.0       7.4      22.0      -4.8 
   23.64     69.63     12.06      33.0      89.2      19.2       6.5      22.1      -4.5 
    23.1     68.02     10.36      38.0      83.5      15.0      10.8      23.3      -2.7 
    22.8     72.63      8.94      27.4      80.4      14.2      10.8      23.6      -4.3 
   23.61     71.92      15.2      25.3      91.4      25.2       9.6      25.3      -2.6 
   19.54     68.15      8.71      34.6      83.8      13.5      10.2      26.1      -5.3 
   22.15     75.79     14.96      22.0      83.9      22.9      10.7      21.5       2.7 
   23.45     66.82      6.93      38.0      83.8      11.0      10.3      20.3      -1.6 
   22.62     71.57      8.25      27.0      92.8      13.1       6.6      22.0      -0.6 
   22.18     72.85      8.42      28.9      88.8      13.4      10.1      19.4      -3.4 
   23.42     67.32     12.84      35.4      84.1      20.9      10.1      21.3      -1.8 
    23.3     72.07     10.86      26.4      95.6      16.7      10.7      22.9      -8.7 
   23.64     66.09      7.92      41.0      83.0      13.1      10.5      25.2      -3.6 
   22.03      71.2      10.0      33.1      92.4      16.6       6.9      22.3      -3.0 
   23.71     76.75     11.98      19.7     100.9      20.2       9.6      23.6      -3.8 
   23.73     68.36     11.56      33.0      87.5      18.0      12.6      23.2      -3.6 
   23.74     78.72      8.03      18.9      99.2      14.1       8.8      23.3      -1.9 
   23.22     75.08     12.04      23.9      88.3      18.3       6.0      23.8      -2.2 
   23.72     69.16     12.42      32.8      88.4      21.3       8.6      22.9      -3.5 
   23.47     71.82      5.15      29.0      85.7       8.2      10.0      21.1      -3.2 
   23.73     77.68       9.6      19.7      96.6      14.3      13.2      21.2      -6.5 
    23.6     72.28      4.76      27.9      99.9       7.6       8.2      23.8      -4.4 
   23.54     64.03      8.94      41.0      85.9      14.1       9.9      21.7      -3.3 
   23.66     70.92     10.43      30.0      96.5      18.4       7.2      20.8      -4.2 
   23.69     70.66      6.94      28.2      92.5      10.9       6.5      23.3      -3.0 
   23.63     71.76      4.63      28.1      89.3       7.2       6.0      20.0      -3.8 
    23.6      67.5      9.98      35.7      94.5      15.7      10.7      23.7      -5.1 
   23.53     73.85     12.43      25.9      89.2      20.9      10.6      26.0      -5.2 
    23.5     71.76      13.6      29.5      82.3      22.5       9.5      21.3      -2.1 
   23.56     71.12      6.39      32.3      91.4       9.4       9.6      23.8      -4.2 
   23.53      66.1      9.88      36.1      85.4      17.4      11.6      25.9      -5.3 
   23.09     74.96     17.14      22.4      79.7      29.7       9.5      23.7       1.4 
   22.83     74.88      8.87      24.6      88.0      15.4       8.2      23.1      -3.5 
    22.3     70.13      8.06      29.2      86.4      13.5      10.4      20.0      -4.1 
   23.68     66.25      9.24      35.6      88.4      15.1       7.9      21.1       1.5 
   22.47     73.24     19.58      26.0      92.5      32.3       9.4      25.6      -3.0 
   23.46     74.86      4.91      21.8      86.7       8.2       9.1      24.7      -6.1 
   23.71     66.72     11.08      34.6      91.9      18.9       7.8      24.3      -1.1 
   23.64     74.95      7.52      24.6      94.9      12.8       4.1      20.2      -3.7 
    23.6     73.77     -0.19      27.0      94.7      -0.3       9.3      23.9      -4.7 
   23.45     67.09      8.86      33.5      88.5      13.8       9.3      22.6      -5.3 
    23.0     72.48     15.03      26.2      86.7      22.9       9.8      21.3      -3.5 
   21.26     73.16       8.7      28.8      86.9      13.6      12.6      22.6      -4.6 
    23.7     71.39      8.46      29.4      91.0      14.0       9.6      25.7      -1.5 
   23.74     66.12      8.59      34.7      80.5      14.2      11.3      20.6       1.8 
   23.66     72.48       9.7      25.9      84.9      15.3       6.8      22.7      -1.8 
   23.62      75.6     12.18      22.8      83.9      19.8       8.6      27.5      -1.8 
   23.66     76.23       5.8      22.8      88.0       9.5       8.6      23.4      -2.6 
   23.66     73.46      8.69      26.9      93.7      13.4       8.9      21.8      -3.8 
   23.65     72.64     10.85      26.8      95.4      17.8      10.3      21.9      -6.9 
   23.69     72.42      6.06      27.9      98.7      10.2      11.0      20.6      -3.4 
   20.18     69.88     12.77      33.7      88.2      22.7       9.8      22.2      -3.3 
   23.62     67.65     16.46      36.1      77.8      25.2       8.1      21.0      -2.5 
   23.55     68.47      9.91      33.0      85.6      16.0      10.7      24.0      -2.3 
   23.29     72.15       9.2      28.6      92.9      15.4       7.0      19.4      -1.6 
   23.68     71.34      8.22      29.3      88.8      13.9      11.6      19.9      -2.9 
    23.6     70.16     12.27      32.9      92.5      20.5       9.6      23.4      -5.2 
   23.05     70.66      6.25      30.9      84.3      10.1       8.6      21.4      -1.9 
    23.5     70.42      7.62      31.5      89.7      12.4       9.3      22.1      -0.9 
   23.62     74.91      0.72      22.7     100.7       1.1       8.0      21.4      -1.0 
   23.65     71.09      7.69      30.4      92.5      13.2       8.4      22.0      -3.7 
   23.44     73.24      8.33      25.9      87.1      12.3       7.7      21.0      -2.1 
   22.93     76.34      6.73      21.8      98.1      11.4       7.9      24.2      -2.1 
   23.54     76.26      5.35      23.1      91.6       8.7      10.5      23.5      -3.3 
   23.71     69.79       6.1      31.0      86.5      10.4       6.7      22.7      -1.5 
   23.15     72.54      6.18      27.5      91.1      10.3       6.1      23.3      -5.3 
   22.42     76.85      9.34      20.8      92.5      15.0       9.0      21.4      -2.0 
   23.51     68.56      9.36      34.7      90.8      15.8      10.4      25.4      -0.1 
   23.74     71.62      10.8      29.4      94.5      17.1       6.9      22.3      -1.0 
   22.09     70.22      9.61      35.4      83.5      15.5       9.6      21.5      -2.3 
   23.46     67.25     15.25      35.3      83.7      23.1       5.2      25.4      -1.5 
   23.63     72.79      8.06      27.6      92.7      12.7       7.6      21.3      -2.0 
   23.22     69.72      6.48      33.2      91.2      10.2       7.4      23.1      -3.0 
   23.74     67.91     17.16      35.1      83.8      27.3      11.1      22.7      -1.3 
   23.73     71.47     10.28      29.5      79.9      18.1       9.2      22.3      -6.5 
   23.18     67.93     12.47      34.8      85.9      22.5       8.2      22.9      -2.7 
   20.47     68.33       8.0      34.5      85.4      14.0       9.3      24.4      -3.4 
   23.14      71.5      5.49      27.5      93.0       8.6      10.2      21.2      -3.3 
   20.55     73.32      6.56      26.7      92.4      10.6       6.4      22.2      -4.4 
   22.93     66.87     10.64      39.4      87.2      17.0      12.5      19.3      -4.6 
   23.47     74.98     11.91      22.3      85.4      20.0      12.2      20.7      -0.0 
   22.57     71.83      9.06      29.5      87.8      13.9       6.5      26.6      -0.9 
   23.65     71.17      18.5      30.6      83.3      29.4      13.4      21.7      -4.4 
   23.36     70.35      6.01      32.9      88.6      10.2      10.0      21.6      -4.7 
   23.64     68.08      8.53      35.7      83.3      13.1       9.9      20.8      -3.9 
   23.66     76.62      7.62      20.1      90.5      13.7       8.3      20.3       0.3 
   23.11     71.65      7.74      29.2      87.1      11.6      10.9      21.4      -3.3 
   23.68     71.38      7.13      29.5      91.7      11.8       7.8      22.9      -4.2 
   23.72     72.68       8.3      28.6      94.1      14.1      12.9      20.4      -0.7 
   23.07     66.16      9.26      37.1      85.7      14.4       9.4      22.9      -2.8 
   23.68     68.54     13.51      37.2      87.3      20.7       9.2      20.8      -4.5 
   23.07     72.23     11.93      28.8      87.1      18.7       7.4      21.5      -5.4 
   23.48      74.9     12.68      24.0      88.4      19.4      10.6      20.5      -2.4 
   20.54     70.97      7.54      32.3      82.7      12.1      11.3      26.7      -2.9 
   23.33      66.8     10.32      33.2      86.1      17.6      10.7      26.8      -2.1 
    23.3     73.11     14.98      27.4      77.4      23.6       9.3      19.9      -0.0 
   23.74     68.32     15.21      32.8      79.8      26.3       7.6      24.5      -0.9 
   23.68     67.02     11.08      37.0      89.3      18.6       8.8      22.4      -2.4 
    23.5     70.18      15.1      30.2      92.2      25.4      10.0      25.8       1.7 
   23.63     76.12      9.63      22.7      78.5      15.8       9.1      20.5      -1.5 
   23.24     73.81     13.96      26.1      91.6      24.9      12.2      21.1      -6.0 
