     mag        RA       DEC         x         y         z        vx        vy        vz 
   24.98    138.33     -5.52    -100.4      80.9     -12.5      -4.1      -0.4       2.0 
   24.89    137.91      -4.5     -90.4      88.2      -9.8      -1.7      -3.0       0.0 
   25.02    137.82      1.56     -89.5      86.0       3.5      -5.2      -1.4      -4.6 
    24.7    136.35     -2.19     -90.8      85.4      -4.6      -5.4      -2.4      -2.4 
   21.96    138.34      0.66     -98.4      89.0       1.5      -4.9      -0.0      -0.8 
   25.13    136.14     -0.73     -95.0      88.7      -1.7      -7.3      -4.3       2.2 
   25.14    133.91      0.14     -91.6      85.6       0.3      -4.5      -1.6       0.8 
   24.65    141.82      2.15    -107.3      79.7       4.4      -7.4      -0.6      -2.9 
   25.13    141.37     -3.64    -100.0      82.1      -8.3      -2.0       0.1      -1.3 
   25.19    138.35     -0.58     -99.6      79.2      -1.3      -5.5      -1.5       2.6 
   24.93    141.62     -2.09    -100.1      82.9      -4.7      -6.6      -0.4      -0.3 
    25.1    139.54      0.09    -100.0      84.0       0.2      -3.8      -1.9      -1.3 
   21.66    140.65     -5.52     -89.6      78.0     -12.9      -6.6       2.0      -3.0 
   24.61    138.53      0.38     -98.1      91.4       0.9      -4.6      -3.0       1.2 
   24.97    139.74      0.64     -98.0      82.9       1.4      -4.9      -3.1      -4.5 
   24.57     140.1     -2.17    -100.3      79.2      -5.1      -4.9      -3.5      -2.8 
   24.94    138.87     -1.57     -95.3      83.1      -3.5      -4.3      -0.9       2.1 
   25.04    141.07     -3.24    -103.4      83.6      -7.3      -1.4      -2.2       2.0 
    25.0    140.07      -1.8    -106.8      84.9      -4.4      -8.1      -0.1      -3.3 
   24.52    137.42     -4.98     -93.3      84.2     -11.2      -5.5      -0.1      -3.1 
   24.82    142.74      3.91    -101.3      78.7       9.1      -7.1      -1.4      -1.1 
   23.31    137.66     -0.66     -95.8      85.3      -1.4      -2.6      -2.5       2.7 
   22.33    137.42     -3.51     -96.2      86.2      -7.6      -7.7      -2.3      -0.3 
   25.24    138.66     -3.64     -89.5      85.0      -8.4      -7.5      -2.2       2.4 
   24.88     137.3      2.38     -96.9      81.7       5.4      -7.5      -5.7      -1.5 
   25.22    138.91      -2.1     -96.2      81.5      -4.7      -8.0       1.4      -0.8 
   25.27    137.97     -3.53     -95.7      83.0      -8.0      -5.1      -5.5       2.4 
   24.94    136.55     -2.68     -95.3      84.5      -6.2      -6.1      -1.1      -0.7 
   22.71     137.5     -3.62     -89.2      89.2      -8.0      -5.1       0.9      -3.0 
   25.02    136.87      0.68     -94.4      89.0       1.6      -1.7      -1.8       1.8 
   24.38    139.74     -2.53     -98.1      86.0      -6.0      -2.8      -3.6       0.8 
   22.47    142.23     -1.99    -104.8      76.0      -4.3      -5.6      -0.8      -1.6 
   23.73    139.24      -2.5     -94.1      88.5      -5.5      -7.5      -2.1      -0.7 
   25.27    142.37      1.33    -104.8      76.5       3.0      -5.1      -1.7      -2.1 
    24.9    137.38     -2.33     -94.9      85.8      -5.1      -6.2      -1.7       0.4 
   24.66    139.07     -3.85     -92.1      80.0      -8.1      -3.9      -3.5      -0.7 
   25.26    140.84     -4.36    -100.4      80.9      -9.4       0.8      -1.0       1.1 
   24.44     141.6     -2.33     -97.5      85.0      -5.2      -6.9       1.2       1.5 
   23.94    138.47     -3.15     -96.6      88.8      -7.2      -3.5      -1.0      -1.8 
   24.79    143.17     -3.49     -97.7      75.2      -7.4      -6.8       0.8       0.3 
   25.13    140.88     -5.38     -96.1      77.4     -11.7      -6.0       1.1      -2.6 
   25.22    140.31     -1.41     -94.6      79.8      -3.3      -4.8      -1.2      -2.0 
   24.93    140.11     -2.58    -103.4      84.4      -5.8      -5.6      -6.0       1.4 
   25.14    137.01     -5.73    -103.0      90.6     -14.0      -6.3      -1.1      -0.8 
   25.19     138.7     -2.53     -90.5      85.5      -5.9      -5.4      -2.2      -0.6 
   25.08    137.94     -0.94    -101.1      90.0      -2.0      -4.9      -0.4      -1.5 
   25.21    140.16     -0.14    -103.5      77.4      -0.3      -5.4      -0.8      -5.4 
   24.85    143.09     -6.27    -106.4      76.8     -13.6      -7.4      -1.6      -0.3 
    25.0    142.73     -4.45    -103.9      81.3      -9.9      -5.3      -1.0       0.1 
   25.08    143.65     -0.55     -99.2      71.6      -1.2      -8.4      -3.2      -0.5 
   25.26    141.28     -1.54    -105.3      81.0      -3.6      -4.8      -0.9      -0.9 
   24.94    137.21     -3.23     -92.6      87.1      -7.2      -4.1      -4.4       0.2 
   25.06    138.36     -0.49     -98.6      85.1      -1.1      -2.7      -5.2      -0.3 
   25.01    140.53     -3.07    -102.0      79.5      -7.1     -10.0      -3.0      -2.7 
   22.14    142.88     -0.79     -98.8      75.3      -1.7     -10.5      -2.8       2.2 
   24.55    140.19     -4.14     -97.0      86.3      -9.2      -8.7       0.8      -2.0 
   25.25    139.55     -2.65     -96.4      85.9      -5.8      -4.8      -2.2      -0.9 
   24.76    135.58     -1.89     -92.3      88.7      -4.1      -2.6      -5.2      -1.1 
   24.77    139.71     -0.19     -97.6      86.0      -0.4      -7.7      -2.2      -0.8 
   21.39    138.42     -4.13     -90.7      89.4      -9.5      -7.8      -1.7      -1.5 
   23.96     142.5     -4.43    -109.9      76.5      -9.4      -7.2      -2.6      -0.7 
   24.88    139.77     -3.74     -96.9      77.7      -8.5      -6.8      -2.0      -2.2 
   25.15    141.72      0.96     -97.8      82.5       2.2      -4.6      -2.2      -1.3 
   22.04     141.2     -3.61    -100.2      79.9      -7.6      -3.9       2.6      -1.8 
   25.18    140.31     -3.38     -95.0      84.6      -7.1      -4.1      -1.6      -2.4 
   24.68    140.41     -3.66    -100.7      84.6      -7.8      -5.2      -2.9       0.3 
   25.21    138.54      0.47     -98.0      81.4       1.0      -5.7      -4.2      -1.7 
   25.21    139.53     -1.77     -98.6      86.7      -3.9      -9.3       0.1      -0.1 
   25.12    140.34      -2.1     -97.5      79.1      -4.4      -6.7       0.8      -0.1 
    25.0    140.01     -2.91     -97.9      81.9      -6.6      -7.2      -2.7       0.3 
   25.01    139.33     -0.99     -96.1      78.1      -2.3      -8.5      -3.7      -1.4 
   25.23    143.59     -0.69    -103.8      76.3      -1.6      -6.8      -2.5      -2.3 
   24.94     139.3     -4.77     -91.4      86.2     -11.4      -8.1      -2.6      -3.1 
   24.27    140.31     -4.68    -106.1      81.2     -10.3      -9.0      -1.6      -3.1 
   24.88    141.88       2.6     -97.4      80.2       5.9      -6.7       0.3      -1.5 
   25.09    136.97     -5.64     -91.0      84.5     -12.9      -5.9      -2.8      -2.9 
   25.17    138.63     -4.04     -91.3      80.3      -9.1      -7.4      -0.6       2.1 
   25.04    142.31     -0.93     -99.4      79.4      -2.0      -3.2      -4.5       2.7 
   24.69    137.86     -3.85     -93.8      89.2      -8.9      -3.2      -0.5       2.3 
   24.58     139.7     -0.41    -102.7      82.0      -1.0      -6.0       0.7       1.9 
   25.24    139.21     -0.37     -99.4      83.2      -0.9      -8.9      -4.8      -2.1 
   24.22    139.61      0.85     -90.2      85.2       2.0      -3.3      -6.5       2.2 
   25.12    139.48     -0.97    -101.6      84.7      -2.1      -4.7       1.0      -2.5 
   25.21    141.23     -2.82     -98.8      78.3      -6.3      -5.0       1.2      -5.2 
   24.58    139.79     -2.44    -104.8      82.2      -5.7      -6.6      -3.0       0.2 
   24.86    139.54      -6.3     -93.4      83.4     -14.2      -5.0      -4.5      -0.1 
   24.91    135.88     -3.35     -95.1      85.0      -7.6      -8.3      -2.1      -2.9 
   24.84    138.57     -3.26     -95.1      85.8      -7.1      -6.1      -0.6      -2.2 
   25.14    138.29     -2.17     -93.1      83.3      -4.8      -5.9      -1.9      -0.7 
   24.89    139.16      1.77     -96.6      82.1       4.2      -8.1       0.8      -3.1 
   25.11     139.3     -1.12     -90.3      88.5      -2.4      -7.3      -1.8      -0.5 
   25.05     144.0     -1.16    -101.2      73.6      -2.6      -5.0       1.5       0.3 
   24.22    144.31     -4.82    -110.3      72.6     -10.6      -5.8      -1.8       0.6 
   25.22     139.6     -1.11    -101.3      84.6      -2.3      -2.2       1.3      -2.7 
   22.67    142.25     -2.37     -96.8      77.9      -5.4      -6.2      -0.6      -1.9 
   24.92    140.46     -2.62     -98.2      79.1      -5.9      -5.9      -0.9      -0.3 
   24.97    139.69      0.31     -96.5      84.0       0.6      -4.8       0.1       1.7 
   25.27    138.03     -2.82     -97.3      93.8      -5.7      -2.5      -5.2      -1.2 
   24.49     138.4     -4.01     -94.5      84.2      -8.2      -6.7       1.6       0.4 
   25.25    134.49     -1.67     -89.7      86.0      -3.5      -5.5      -3.1      -4.0 
   25.09    136.92      4.03     -91.1      90.3       8.6      -5.7      -1.4       1.4 
   25.14    138.91     -3.07     -91.4      85.7      -7.1      -7.6      -3.5      -2.1 
   25.11    139.55     -0.33     -99.5      89.6      -0.8      -9.3      -0.5      -3.7 
   25.24    138.11     -4.64     -90.8      88.6     -10.7      -5.5       1.9      -1.9 
   25.18    140.81     -7.79    -103.5      76.0     -17.4      -6.6      -0.4      -0.8 
   25.19    138.45     -2.63     -95.7      83.3      -5.9      -4.7      -2.3      -0.7 
   25.09    141.39      1.15    -102.2      79.7       2.7      -5.0      -1.8      -2.1 
   25.25    138.47     -1.38    -103.3      85.9      -2.9      -5.4      -0.7      -1.4 
   24.38    140.05     -2.63     -97.3      85.3      -5.8      -6.8      -3.8       2.3 
   24.89    141.62     -0.89    -100.6      73.2      -1.9      -7.1      -2.3       2.0 
   22.58    139.05     -5.97     -95.9      84.8     -13.7      -5.9      -3.2       0.9 
   25.05    142.71     -2.67    -100.8      75.6      -6.3      -9.9      -1.4       1.6 
   25.24    136.91     -1.74     -98.7      86.8      -4.0      -6.4       1.7      -3.0 
   24.86    141.03      -1.6     -97.6      78.0      -3.6      -7.9      -2.8       1.2 
   24.22    138.06     -0.12     -93.3      83.0      -0.3      -4.5      -0.4      -0.7 
   25.23    139.73     -2.83     -91.3      83.9      -6.3      -5.0       1.0       2.2 
   25.27    138.04      0.19     -95.8      89.7       0.4      -5.6      -3.2      -1.7 
   24.88    139.12      0.12    -100.3      82.5       0.3      -8.7      -5.7       1.2 
   25.17    137.43      2.46     -92.7      93.4       5.6      -8.5       1.3       3.8 
   25.19     143.1     -5.34    -104.1      78.8     -12.3      -6.2      -0.5      -0.7 
   24.26    143.57     -1.78    -111.9      74.0      -4.3      -5.8      -1.3      -1.3 
   24.49    144.02     -3.52    -105.1      74.9      -7.8      -3.5      -0.3       0.3 
   25.27    135.25     -1.32     -97.6      85.7      -2.9      -3.2       0.3      -2.6 
   25.25    138.66     -7.57     -94.3      83.3     -16.9      -7.4      -4.3      -0.3 
   25.25    140.31     -4.64     -95.5      81.0     -10.0      -7.2       0.4      -3.2 
    20.6    136.76     -2.58     -89.2      95.7      -5.9      -7.6      -1.9      -0.0 
   25.27    137.28     -2.37     -89.3      85.9      -4.9      -5.8       0.1      -4.3 
   20.42    142.27     -1.09     -98.6      79.0      -2.5      -5.1      -3.6      -1.8 
   25.19    141.45     -1.09    -104.8      84.6      -2.7      -6.6       1.3       0.9 
   25.23    135.29     -2.65     -92.9      85.7      -5.9      -6.2      -2.9      -0.7 
   25.18    138.93     -1.11     -97.0      85.7      -2.6      -8.7      -4.8      -3.4 
   24.97    135.76      0.08     -87.3      87.2       0.2      -7.7       0.1      -1.5 
   24.88    142.25     -3.54     -98.3      73.9      -8.3      -3.8      -3.6       2.0 
   25.23    137.08     -0.36     -96.3      88.6      -0.9      -5.3      -0.9       0.1 
   24.86    137.04     -1.89     -93.4      86.3      -3.9      -6.9      -1.4       0.7 
   25.01    137.35     -2.68     -91.9      84.4      -6.0      -7.4      -0.4       1.3 
   25.25    142.24      0.39    -104.6      80.0       0.8      -6.2      -1.7      -2.7 
    24.7    139.95     -3.17    -101.3      77.6      -6.7      -7.2      -5.5       0.4 
   23.73    139.89      -6.3    -103.7      88.4     -13.9      -7.6      -1.7      -4.8 
    25.1    138.55       1.4     -98.3      85.0       3.2      -4.6      -1.0      -2.9 
   25.11    141.32     -2.75    -102.7      85.2      -6.2      -4.2      -3.3       1.6 
   24.97    138.01     -0.62     -96.5      91.2      -1.4      -2.6      -2.1       1.5 
   25.27    142.41     -2.29    -101.9      76.6      -5.0      -3.6      -4.2       1.3 
   24.77    141.05     -1.34    -101.2      78.7      -3.0      -9.8      -2.7      -0.8 
    25.2    135.48     -4.11     -90.4      85.2      -9.0      -9.5      -1.5       1.1 
   25.19    137.85     -4.78     -93.3      86.7     -10.2      -3.7      -1.6      -0.2 
   25.21     140.3     -4.73     -97.3      77.5     -11.1      -1.4      -0.4      -0.2 
   24.67    142.42     -0.95    -104.2      80.1      -2.2      -7.0      -6.3      -0.8 
   25.17    138.71     -2.24     -93.6      85.0      -5.0      -9.4       1.6       0.1 
   25.02    140.02      1.12     -95.4      84.6       2.6      -7.4      -1.2       2.8 
   22.87    137.76     -0.36     -86.2      83.8      -0.8      -3.9       2.0      -1.6 
   24.89    140.05     -2.52    -102.2      78.2      -5.5      -8.4      -2.7      -3.3 
   25.23    140.82     -3.53    -100.6      77.0      -8.5      -7.2      -3.8      -3.3 
   25.27    137.34     -3.66    -101.0      88.6      -7.8      -4.7       0.9       2.2 
   24.74    139.81     -4.42    -101.6      85.9      -9.7      -8.8      -0.2       1.5 
   19.54    136.88     -4.63     -90.7      84.5     -10.0      -7.7       0.2       2.3 
   25.19    139.27      1.57     -93.6      84.0       3.5      -6.7      -4.7      -3.3 
    24.9    136.65     -0.68     -97.3      89.4      -1.6      -6.2      -0.4       3.5 
   24.82    141.39     -3.33    -103.6      75.9      -7.9      -4.8      -2.6      -1.0 
   25.07    134.82     -2.64     -94.9      91.2      -5.9      -5.5      -2.5      -3.7 
   25.12    137.96     -2.21     -91.4      85.2      -4.9      -9.0      -2.8      -0.3 
   25.05    137.51     -5.08    -103.3      90.1     -11.8      -7.1      -1.6      -1.7 
   25.19    136.45     -4.23     -87.6      90.4     -10.0      -7.2       1.1      -2.1 
   24.83    141.39     -4.08     -99.1      79.9      -9.3      -9.9      -2.0      -1.1 
   25.16    136.85     -1.17     -93.8      86.3      -2.7      -6.2      -2.3       1.5 
   21.66    140.58     -0.65     -96.4      82.0      -1.6      -6.3       0.5       2.3 
   24.91    138.26      0.99     -93.1      89.8       2.3      -4.2      -3.1      -4.4 
   25.23    138.68      0.46     -99.7      81.0       1.0      -2.3      -2.2       1.7 
   25.04    139.99     -1.89     -94.8      87.0      -4.2      -6.8      -2.8      -0.7 
   25.18    135.51      1.67     -96.2      92.1       3.9      -7.8      -5.1      -2.7 
   25.19     134.9     -2.46     -85.2      89.6      -5.4      -4.2       3.6      -2.1 
   25.03    136.83     -0.08     -98.1      86.5      -0.2      -5.8      -0.7       0.1 
   24.77    141.18     -1.96     -95.3      83.4      -4.2      -6.4       0.6      -5.0 
   25.04    143.95     -1.71    -106.2      73.1      -3.8      -4.6       0.5      -2.9 
   25.09     139.5     -1.99     -96.2      79.9      -4.8      -3.5      -3.4      -0.0 
   25.11    141.05     -4.57     -95.8      76.7     -11.1      -3.5       3.7       0.3 
   24.97    140.51     -3.83    -100.9      82.5      -8.6      -6.1      -3.2       2.0 
   22.52    136.77     -3.51     -91.0      80.7      -7.5      -6.2       0.4      -1.5 
   25.23    140.51     -3.13    -103.6      76.1      -6.5      -8.6      -0.0       1.8 
   25.21    139.21     -4.04     -99.8      87.5      -9.3      -7.7       0.2      -0.2 
   24.89    140.84     -3.04    -104.0      78.8      -7.0      -5.4      -2.5      -2.0 
   25.12    136.96     -4.83     -90.7      85.4     -10.8      -2.1      -0.2      -2.7 
    22.7    134.68     -3.71     -90.0      94.5      -8.0      -4.9       0.6       1.4 
   22.96    138.02     -1.72     -93.2      87.3      -3.9      -8.7      -5.8      -0.3 
    25.2    133.59      -1.3     -85.7      89.2      -2.9      -7.1      -3.1      -2.2 
   25.12    144.78     -1.99    -104.1      75.3      -4.2      -2.3      -2.1      -3.4 
   25.24    135.38     -3.13     -94.7      90.7      -6.5      -6.7      -5.0      -1.2 
   25.17    137.55     -0.83     -89.3      84.5      -1.8      -9.0      -1.9       2.5 
   24.74     138.2      1.99     -96.9      84.8       4.3     -10.4      -2.1       0.8 
   25.14    138.19     -1.79     -97.3      84.2      -3.9      -4.2      -2.1       0.6 
    24.4    139.52      -5.9     -99.3      80.2     -12.4      -9.6       0.5      -1.9 
   25.25    136.22     -0.38     -90.8      91.6      -0.8      -9.0      -1.1      -0.6 
   25.09    140.93     -1.23    -101.0      81.1      -2.8      -5.1      -1.3      -2.5 
   24.09    139.73     -0.19    -102.5      78.7      -0.4      -4.7       0.3      -6.7 
    25.2    140.59     -2.98     -97.5      83.8      -6.8      -6.9      -3.3      -0.7 
   20.92    139.22     -0.06    -106.2      80.8      -0.1      -9.8       2.5       5.5 
   24.81    141.32     -4.72     -95.2      78.3     -10.7      -4.0      -2.8       0.2 
    25.0    139.94      0.72    -100.1      83.5       1.7      -2.9      -3.1      -2.4 
   25.21    142.53     -6.86    -100.6      82.2     -14.8      -5.2      -4.0      -2.6 
   25.26     138.7     -3.84    -105.1      86.6      -9.0      -4.5      -2.8      -0.7 
   24.72    138.38      0.52    -102.1      85.8       1.1      -6.5      -0.7      -1.3 
   24.91    135.05     -5.38     -97.1      91.4     -12.0      -6.5      -4.1       1.4 
   25.27    137.37     -1.91     -94.4      86.0      -4.1      -6.9       0.5      -2.7 
   22.84    135.06     -1.56    -100.7      94.9      -3.3      -8.9      -6.6      -0.3 
   22.36    139.83     -5.03     -94.5      76.2     -11.5      -6.4      -1.0      -0.7 
   25.06    140.52     -0.07     -99.8      85.0      -0.2      -8.0      -0.5       0.7 
   25.03    139.84      -1.0     -95.6      83.8      -2.3      -9.5       0.6      -1.7 
   24.97    140.21      0.34     -93.8      80.3       0.8      -7.1      -3.8       3.5 
   24.89    136.89     -1.95     -89.9      85.9      -4.4      -5.5      -2.6       1.9 
   23.81    143.08     -4.12    -104.1      73.2      -8.6      -3.5      -3.8       1.1 
   25.25    139.13     -3.98     -97.8      88.6      -8.5      -6.1      -4.1      -2.3 
   24.33    140.81     -5.36    -104.1      84.3     -11.3      -5.6      -5.5       0.3 
   21.95    140.08     -2.18     -97.1      82.9      -4.7      -5.7      -7.1      -1.7 
   24.89     135.4     -2.22     -86.2      87.3      -4.8      -7.6      -3.6       0.9 
    24.4    141.11     -2.79     -98.8      81.0      -5.7      -5.6      -1.2      -2.2 
   24.62    137.92     -0.63     -98.5      82.1      -1.4      -6.6      -1.0      -1.2 
   24.99    137.39     -1.32     -91.9      81.6      -2.9      -6.7      -1.7       1.1 
   25.12    139.45     -1.27     -97.4      80.1      -3.0      -5.7      -0.5       3.5 
   21.42    139.65     -0.75     -95.8      80.6      -1.8      -6.5      -2.1      -0.1 
   25.04     137.8      -3.2     -96.8      86.7      -7.6      -5.2      -2.5      -4.7 
   24.77    137.16     -3.19     -92.0      95.8      -7.7      -4.8       0.6      -3.4 
   24.89    141.55     -1.36     -99.1      75.1      -3.0      -7.0      -3.4       1.8 
   24.79    140.61      0.06    -103.4      76.8       0.1      -5.9      -4.8      -2.0 
   24.82    142.62     -1.85     -97.9      78.6      -4.4      -3.6      -0.5       2.7 
   25.27    135.57      0.86     -88.6      90.8       2.0      -7.0      -3.1       0.5 
    25.2    140.73     -2.23    -103.3      80.4      -4.9      -6.4      -1.5      -1.1 
   25.16    138.17     -3.96     -94.7      89.4      -9.3      -9.7      -2.7      -1.9 
   24.84     138.1     -4.48     -96.1      85.3     -10.2      -6.0      -0.3      -0.8 
   25.26     139.1       1.4     -90.1      82.5       3.3      -4.9      -3.5      -2.1 
   25.24    144.45     -3.65    -104.8      74.0      -7.7      -5.1      -2.1      -0.6 
   24.96    140.54     -3.26    -101.0      75.3      -7.2      -5.1      -1.6      -1.9 
   21.29    139.35     -4.79     -95.4      84.1     -11.1      -5.7      -1.0       0.6 
   24.66    135.97     -2.84     -91.6      88.2      -6.0      -4.4       0.7      -2.3 
    25.2    141.82     -1.41     -96.2      85.8      -3.2      -5.0      -2.1       3.4 
   25.13    138.75     -1.79    -101.0      86.0      -4.2      -8.0      -3.5      -0.4 
   25.24    139.65     -1.18     -97.4      85.9      -2.7      -7.0      -2.5      -3.3 
   24.97     139.7     -4.45    -102.9      84.0      -9.4      -8.7       0.5       1.3 
   25.16    140.35     -3.19    -100.4      84.4      -7.4      -3.8      -2.4      -1.5 
   25.25    139.47      2.19     -98.7      78.6       4.8      -9.2      -0.7       0.0 
   25.06    140.15     -7.35    -110.0      79.0     -16.2      -1.6      -2.2      -0.3 
   20.85    141.39     -0.83    -102.0      74.1      -1.9      -6.1       2.3       1.1 
   25.11    140.98     -0.17    -101.8      78.3      -0.4      -4.3      -2.4      -2.6 
   25.26    143.02     -7.16    -102.5      78.8     -14.8      -7.7      -3.4       0.3 
   25.18    137.11     -3.55     -96.1      82.4      -7.7      -9.1      -2.7      -0.4 
   24.52    136.54     -3.66     -92.1      85.4      -7.7      -2.9      -2.8      -2.5 
   25.26    142.23     -0.67    -101.3      80.4      -1.6      -7.1      -0.9       0.7 
   25.14    139.48     -4.17     -96.0      86.9      -9.2      -6.0      -1.3      -0.2 
   25.13    136.79      2.13     -87.5      83.8       5.0      -5.5       0.5       0.7 
   25.26    142.59     -0.56    -104.3      80.9      -1.3      -3.7       4.3      -0.7 
   25.11    141.56     -4.75     -96.5      74.5     -11.1      -6.3      -0.1      -1.9 
   24.97    139.26       0.9    -101.0      81.4       2.1      -7.0      -2.3      -2.9 
    25.1    142.27     -3.02     -98.5      80.8      -6.4      -7.9      -2.9       0.6 
    25.0    138.11     -1.56     -96.8      85.1      -3.5      -4.6      -4.1      -0.2 
   25.21    139.68     -7.18     -99.8      82.8     -15.3      -8.6      -0.0       0.8 
   24.55    140.33     -0.93     -96.0      84.7      -2.0      -6.4       1.0       0.0 
   24.78    136.73     -4.23     -95.8      88.4      -9.3      -6.6      -5.7      -2.3 
   25.15    140.53      0.14     -96.4      83.8       0.3      -6.3      -2.3      -3.5 
   25.21    141.69     -1.31    -101.2      84.0      -2.9      -6.9      -1.6       3.7 
   25.25    139.27     -4.97    -101.8      81.7     -11.7      -7.7      -8.0      -3.2 
    21.9    143.19     -1.55    -103.0      79.4      -3.4      -8.0      -3.8      -0.3 
   24.84    136.14     -1.45     -90.1      82.1      -3.3      -6.1      -2.1      -2.5 
   21.54    139.02     -1.21    -100.3      84.8      -2.8      -7.3      -1.5      -4.6 
   25.26    139.68     -1.24     -99.9      83.5      -2.6      -5.5      -0.0       1.1 
   25.27    139.92     -1.46     -93.8      78.0      -3.2      -5.4      -0.3      -2.7 
   25.16    140.57     -3.69    -103.3      87.1      -8.4      -5.6      -4.5      -3.5 
    24.9    140.54      0.32     -99.5      77.5       0.8      -7.3       3.1      -1.8 
   25.25    138.25     -2.62    -103.0      85.4      -6.3      -6.1      -0.3      -1.3 
   22.12    137.81     -2.31     -94.1      88.5      -5.4      -4.8       1.6       1.8 
   24.96    139.49     -2.42     -99.8      86.3      -5.4      -4.5      -2.5      -1.4 
    24.8    140.82     -3.41     -98.4      78.4      -7.6      -6.9      -1.9      -0.6 
   23.03    138.59      -2.3    -101.0      86.7      -5.3      -4.1       1.0      -3.2 
   25.13    137.65      0.57     -97.8      86.8       1.3      -6.3      -1.0       0.0 
   25.26    137.82     -1.58     -93.1      86.9      -3.6      -5.1      -1.6      -3.4 
   25.17     140.7     -1.03    -103.9      80.7      -2.2      -4.1      -4.1       0.7 
   24.56    138.96      4.48     -89.8      82.5       9.7      -3.6      -0.7      -1.8 
   24.56    136.42      1.51     -97.4      88.4       3.4      -6.2      -1.7       2.6 
   22.62    139.06      0.19     -94.5      77.6       0.4      -5.7      -3.6       1.1 
   22.11    135.83     -0.94     -90.4      88.3      -2.2      -3.4      -1.7      -2.8 
   25.19    137.84     -1.79     -96.6      86.7      -4.0      -5.1      -4.5      -0.8 
   25.22    136.76     -2.94     -85.8      87.2      -6.5      -4.9      -3.0      -5.4 
   24.98    138.87     -6.44    -102.5      82.2     -15.2      -6.8       0.4      -0.1 
   24.59    139.95     -2.04     -98.9      82.3      -4.9      -6.7       0.6       2.2 
   24.97    139.67      0.11     -93.7      82.9       0.3      -8.6      -3.2      -2.2 
   25.11    135.81     -2.88     -90.0      83.7      -6.7      -2.7      -3.2      -1.7 
