     mag        RA       DEC         x         y         z        vx        vy        vz 
   22.51    239.81      8.96     -43.1     -69.4      13.7       2.5      27.2       1.9 
   19.01     237.6      4.78     -42.2     -72.9       6.5       3.2      27.4      -0.2 
   22.64    242.53     -0.04     -38.4     -74.6      -0.1       2.9      25.8       2.6 
   23.13    244.76       8.7     -37.2     -86.3      12.4       3.3      26.3       3.1 
   23.12    250.23      6.04     -29.4     -79.0       8.4      -0.4      24.6       1.0 
   22.86    239.92       4.3     -42.2     -70.7       6.6       2.8      22.2       0.9 
   23.16    243.97      8.71     -40.1     -78.9      12.5       0.2      22.9       2.2 
   23.02     242.2      7.54     -40.6     -69.5      10.3       0.0      27.0       7.5 
   23.02    245.08     10.66     -35.5     -77.3      16.8      -0.6      25.0       2.8 
   23.06    241.36      4.15     -37.6     -70.0       6.0       2.0      23.9      -0.2 
   22.51    242.11     10.97     -36.3     -74.2      15.8      -0.6      26.6       0.7 
   22.58    243.53      8.03     -34.4     -78.9      12.3       0.6      21.5       1.1 
   22.57    243.61      7.58     -37.9     -69.8      10.1       5.1      23.9       3.7 
   23.17     245.1      4.27     -32.1     -80.4       6.0       4.6      23.7       1.2 
    22.9     246.4      7.12     -32.7     -75.4      10.2       6.9      22.2       3.8 
   23.15    242.54      8.17     -44.0     -70.7      11.8       3.3      22.4       0.7 
   21.95    248.52      3.05     -33.1     -83.2       4.5       2.8      23.3       1.2 
   23.18    247.92      1.38     -35.0     -85.0       2.0       4.6      24.3       1.4 
   22.81    244.94      4.63     -35.5     -76.1       7.1       3.7      23.9      -0.6 
   22.58    241.27      6.29     -38.4     -76.7      10.4       4.4      27.0       2.4 
   22.98    242.17     10.26     -39.2     -78.7      13.8       2.3      27.3       0.4 
   22.79    242.59      8.26     -38.5     -69.4      13.0       1.3      23.8       3.0 
   23.18    241.36     -1.04     -39.2     -67.8      -1.5       3.7      23.9      -0.3 
   23.19    238.94     -0.56     -43.6     -72.1      -0.8       3.4      25.9       1.0 
   23.02    244.71     -0.44     -35.4     -79.7      -0.7       2.7      28.6       1.1 
   22.56    243.82      3.07     -35.3     -75.4       4.8       1.5      27.2       6.9 
   22.93    241.23      4.67     -40.0     -75.7       6.9       2.4      26.7      -3.0 
   22.42    244.63      2.69     -37.2     -82.2       3.8       1.8      28.7       3.2 
   23.19    244.88      1.98     -33.0     -79.1       3.0       3.6      27.3       5.4 
   23.11    246.05     -1.84     -36.3     -76.1      -2.9       2.4      25.5      -0.1 
   22.95    245.96     13.81     -34.3     -84.3      20.7       0.3      25.7       2.0 
   22.48    238.53      6.06     -39.4     -70.7       9.4       2.3      22.1       0.0 
   23.04    249.04      8.14     -31.9     -84.1      13.4       1.8      22.1      -0.5 
   22.71    244.71      3.51     -35.2     -75.7       4.9       2.5      24.4       3.7 
   22.86     251.2      9.41     -27.9     -80.8      13.4       3.1      22.7       3.7 
   23.13    243.38       5.2     -39.7     -73.7       7.0       4.7      23.7      -0.0 
   22.41    244.99      2.65     -34.4     -78.6       4.0       3.3      23.8       1.4 
   22.68     245.4      4.81     -34.2     -72.0       6.6       2.4      26.3       2.9 
   23.16    246.06      8.16     -34.7     -74.8      10.9       1.6      24.7       1.1 
   19.79    243.68     -0.23     -34.5     -64.7      -0.4       0.8      26.5       2.7 
   22.81    246.94      3.29     -33.7     -81.5       4.4       3.7      29.8      -0.2 
   22.42    241.58      8.32     -40.8     -69.1      12.0       1.1      27.1       3.5 
   21.34    238.28       2.5     -45.4     -74.9       3.7      -0.1      24.6      -1.3 
   22.66    243.59      6.42     -37.6     -87.5       9.2      -0.1      23.1       0.5 
   23.15    247.71      0.85     -31.8     -76.8       1.2      -1.3      20.3       2.2 
   22.74    241.75     -0.81     -38.1     -69.5      -1.1       2.6      28.8       1.7 
    23.0    241.88      3.51     -40.0     -73.5       5.8       3.3      22.9       2.0 
   22.99     240.9      4.98     -42.6     -69.3       7.9       1.5      21.9       3.7 
   22.94    243.71      2.01     -33.9     -82.0       3.0       1.7      23.3       1.5 
   22.91     250.8      8.94     -27.7     -72.0      12.7       5.8      25.9       1.1 
   22.09     242.2      3.66     -38.2     -76.0       5.4       4.6      26.0       2.4 
   23.18    237.09      3.88     -45.6     -72.3       5.1      -1.1      24.2       0.8 
   23.17    243.51      3.25     -37.5     -78.4       4.9       1.9      23.5       4.3 
   23.18    242.35      5.32     -39.0     -81.6       8.2      -0.1      23.2       2.7 
   22.99    238.98      1.02     -46.3     -68.1       1.4       5.4      27.8      -0.3 
   23.19    248.49       4.9     -27.7     -73.2       7.3       0.6      27.8       1.9 
   22.57    243.72      3.37     -39.5     -78.4       5.0       6.4      26.4       4.7 
   20.11    245.72     10.95     -35.3     -81.4      16.4       0.3      24.3      -3.0 
   23.09    249.46      3.35     -29.2     -71.0       4.6       3.1      25.1      -1.2 
   23.13    244.17     -0.29     -35.9     -71.5      -0.5       1.4      23.9       0.5 
   23.04    245.93      6.31     -35.7     -76.1       9.7      -1.8      23.7       3.5 
   23.09    247.47     10.94     -33.9     -81.2      14.4       4.5      24.2       3.1 
   23.17    242.22      2.98     -41.1     -72.2       4.1       2.0      23.6      -0.3 
   21.39    241.94     -1.69     -40.0     -72.3      -2.1       0.9      24.4      -2.4 
   21.56    243.28      8.52     -34.5     -76.5      10.9       5.0      28.7      -0.7 
   22.85    240.73      2.71     -39.2     -68.0       4.1       1.3      21.8       1.6 
   22.85    245.68      0.57     -36.0     -79.4       0.8       4.6      23.1      -1.2 
   22.92    251.48      6.24     -26.8     -82.2       8.7       2.8      29.8       3.5 
   23.03    248.93      4.52     -30.9     -74.0       6.7       1.5      27.3       1.8 
   22.73    242.29      3.43     -35.7     -77.5       5.4       2.5      27.4      -0.5 
   23.16    244.43      3.15     -35.4     -74.5       4.9       0.0      25.8       0.1 
   23.08    240.49      7.94     -46.2     -73.7      12.3      -0.3      23.6       1.4 
   23.12    244.58      1.96     -32.2     -81.5       2.9       1.2      24.7       1.5 
   23.15    245.69       6.0     -32.2     -72.9       8.6       0.3      24.7       2.4 
    22.8    241.75      4.28     -36.3     -70.7       6.2       1.6      24.0       2.2 
    22.2     244.3      0.83     -34.7     -72.1       1.2       3.2      25.1       1.1 
   23.14    240.46      3.46     -42.4     -77.6       5.0       3.3      22.4      -1.6 
   22.35     251.9      2.99     -28.3     -88.8       4.5       4.2      22.3      -0.4 
   22.72    245.21     -4.94     -30.6     -74.3      -7.4       0.4      27.6       2.8 
   23.17    245.25      0.94     -36.3     -77.5       1.2      -0.9      22.3       1.2 
   22.74    247.25     -1.87     -33.3     -81.7      -2.7       1.4      26.0      -2.7 
   23.17    241.33      3.59     -46.3     -69.0       5.2      -1.6      28.8       6.1 
   22.95    239.68      4.85     -39.0     -76.4       7.0       5.2      21.7       4.6 
   22.75    240.11      4.39     -44.5     -72.3       6.6      -1.7      24.8       1.8 
   22.98     251.1      5.13     -26.9     -86.9       8.4       5.1      22.8       4.5 
    22.8    236.23      5.83     -44.9     -65.7       8.7       5.7      24.0       1.4 
   23.11    245.94      8.85     -30.5     -72.0      13.3       0.6      21.7       4.5 
   23.18    247.11      1.48     -30.3     -83.7       2.3       3.1      24.4       4.0 
   22.93    247.18     -3.12     -29.3     -76.1      -4.0       1.3      24.8       3.6 
   22.38    240.95      6.37     -44.1     -80.9      10.0       1.8      24.4       4.2 
   22.44    240.54      2.82     -39.8     -76.1       4.2       0.6      27.9       3.3 
   23.19    242.64      6.07     -39.0     -71.1       8.9       3.1      28.1       4.7 
   22.23    239.53      5.64     -41.6     -72.9       9.5       4.6      23.3      -0.8 
   22.98    246.98     10.02     -34.3     -76.9      14.9       3.1      25.3       3.2 
   22.75    246.02      8.12     -35.7     -77.3      11.8       4.7      23.3       1.1 
   23.03    239.86     11.16     -44.1     -83.4      16.5       0.1      24.2       2.3 
   22.82    241.91      0.21     -38.2     -76.2       0.3       0.7      24.2       0.7 
   23.17    242.45      9.04     -37.6     -77.7      14.1       0.9      20.8       0.1 
   23.12    241.82      6.13     -45.6     -64.6       9.3      -2.7      25.8       6.1 
   23.15     243.2      4.54     -37.3     -83.8       6.4       1.2      25.3       6.2 
   22.48    242.08      3.52     -35.4     -64.0       5.2       4.1      27.5       1.2 
   22.83    243.81     14.29     -33.0     -70.7      20.8      -1.2      23.5       0.4 
   23.16    244.91      8.15     -36.5     -92.3      13.1       4.0      22.5      -0.6 
    23.1    240.94      3.43     -44.2     -71.4       5.6       1.9      23.7       0.1 
   22.86    247.63      7.06     -33.8     -70.0      11.1       0.5      25.6       5.9 
   23.11     243.9      3.47     -38.1     -71.3       5.1       1.6      25.9       1.4 
   22.83    244.46      2.73     -33.1     -68.5       3.9       4.5      25.8       0.9 
   23.05    248.96     -0.59     -28.0     -77.6      -0.8       4.9      25.2      -0.6 
   22.57    246.05      4.27     -35.8     -72.9       6.2       3.0      22.4       0.5 
   21.91     242.3      3.31     -35.5     -70.2       4.8       1.3      26.6       2.1 
   22.54    239.82      6.86     -45.1     -67.4      10.2       7.2      25.6       0.1 
   23.09     245.1      9.11     -32.4     -83.9      12.3       0.8      24.3      -1.6 
   22.69    240.79      2.71     -43.9     -73.4       4.2      -0.3      25.8       3.6 
   22.85    245.32      5.25     -32.7     -74.4       7.3       2.7      28.2       0.1 
   22.85    244.36      5.13     -40.2     -69.8       7.3      -2.6      24.7       1.0 
   22.94    246.88     12.54     -32.2     -73.6      18.6       2.7      25.3       2.8 
   23.03    246.25      6.62     -37.3     -79.4       9.9       0.0      24.3       3.9 
   23.19    244.61      9.96     -34.7     -82.4      14.7       3.7      26.5       3.3 
   22.56     244.8      0.32     -37.2     -75.2       0.5       5.5      23.9       5.1 
   22.69    239.28      5.05     -41.7     -69.2       8.0      -0.7      25.7       1.8 
   23.12    246.88      5.29     -32.4     -75.7       8.0       3.7      25.7       5.5 
   22.48    247.31      6.53     -34.4     -80.1       9.5      -0.6      26.1       0.5 
   22.12    247.23      3.52     -30.1     -78.7       5.6       5.1      24.4       2.2 
   23.15    238.97     -1.51     -43.1     -77.9      -2.5       3.8      24.3       0.6 
   23.18    243.91      3.18     -36.3     -75.4       5.0       2.3      26.0       2.3 
   23.12    239.84     -0.49     -38.5     -79.0      -0.7       1.9      25.1       0.9 
    23.1    245.18      5.81     -35.6     -81.0       9.1       1.5      20.8       2.4 
   23.17    245.93      2.15     -35.4     -73.8       3.3       0.1      26.6       2.8 
   23.06    242.38      8.27     -41.1     -76.0      11.3      -0.4      24.1       3.8 
   23.11    244.84      4.92     -36.2     -69.4       7.6       6.5      23.9       2.9 
   23.14    242.17      2.26     -44.4     -80.5       3.3       1.8      26.5       0.9 
   23.08    243.57      8.34     -35.3     -76.8      11.6      -3.6      26.9       0.6 
   23.11    246.28     11.75     -33.4     -74.2      17.2       3.0      24.9       3.1 
   22.84    243.31      -0.8     -36.3     -71.5      -1.2       1.5      24.5       1.4 
   23.09    246.03      5.76     -34.1     -77.0       8.8      -0.9      27.8       5.1 
   23.17    238.97      7.26     -43.0     -75.4      10.9       2.5      27.2       2.1 
   22.62    239.04      7.56     -44.4     -80.6      11.7       1.5      25.3       2.1 
   23.15    241.81      0.24     -35.3     -71.7       0.3       3.7      24.0       0.3 
   22.83    240.75      8.49     -37.7     -75.3      12.0      -0.4      22.1      -0.2 
   23.04    245.89      6.84     -34.4     -78.4       9.3       0.7      26.7      -0.8 
   22.72    243.82     -4.56     -33.7     -69.3      -6.7      -1.9      25.1      -0.1 
   22.39     237.1       4.6     -45.1     -72.7       6.5      -2.7      22.3       5.5 
   23.09    243.95      2.76     -34.3     -77.6       4.1       3.0      22.5       1.4 
    22.8    245.23      2.38     -33.2     -76.4       3.6       1.8      24.0       3.9 
   22.33    236.74      6.94     -46.9     -72.2       9.4       3.0      25.0       0.1 
   23.14    237.44      3.71     -42.4     -68.2       5.2       4.8      24.1      -2.1 
   22.31    239.19      5.95     -43.6     -74.7       9.4       3.4      21.4       2.9 
   22.57    237.68      8.06     -43.8     -73.2      12.8       0.3      29.0       2.1 
   23.14    242.83      8.67     -36.9     -71.3      11.4      -1.4      22.9       4.5 
   23.16    247.79      6.65     -31.2     -78.9       8.7       3.0      25.5      -2.3 
   22.94    238.84     -2.16     -39.6     -68.8      -3.3       2.6      22.1       1.9 
   23.12    250.02      6.36     -25.3     -82.3       9.1       3.4      26.8       4.4 
   22.95    243.09      1.63     -38.9     -77.1       2.3      -1.3      27.1       0.0 
   23.15     244.4       4.9     -37.3     -72.8       7.3       3.8      27.7       2.1 
   22.78    246.05      4.05     -34.0     -80.6       5.9       1.1      24.7       1.7 
   23.19    239.04      4.39     -43.2     -81.6       6.7       4.0      24.8       4.2 
   22.98    247.42     -3.24     -33.1     -80.4      -4.2       2.8      24.2      -1.8 
   23.04    243.77      2.55     -37.8     -74.7       3.6       5.1      21.8       3.7 
   20.24    249.62      1.74     -29.2     -81.9       2.6       4.0      23.8       2.7 
   22.95    244.28      6.25     -40.0     -76.1       9.0       3.7      25.3       1.5 
   22.54     241.6      5.17     -40.5     -77.8       8.2       2.8      25.2       2.1 
   23.12    249.69      3.54     -28.4     -79.0       5.2      -1.9      25.3       2.5 
   20.26    248.13     10.09     -30.8     -79.9      14.6       4.5      25.6      -0.2 
    23.2    245.02      4.49     -35.3     -79.1       7.1      -1.5      27.6       1.8 
   23.15    241.64      4.16     -43.3     -77.4       6.1       2.4      26.2       2.5 
   23.01    234.19      3.99     -43.4     -60.8       6.2       4.1      22.9       3.7 
   23.14    245.94      4.21     -35.5     -84.4       6.3       3.2      24.9       4.0 
   22.83    245.61      6.58     -34.7     -74.5       9.9      -1.4      22.0       3.0 
    19.3    238.01      3.56     -45.1     -71.1       5.3      -1.2      24.1       5.1 
   22.92    246.98     12.47     -33.1     -79.4      20.1       2.6      24.0       0.8 
   23.05    240.73      6.56     -40.2     -76.2      10.3       4.7      24.1       0.6 
    22.9    241.94      9.24     -38.4     -74.9      12.9       2.6      19.3       0.8 
   23.13    243.79      8.09     -32.8     -74.9      13.0       0.7      23.9       1.3 
   22.78     244.2      6.69     -37.3     -77.7       9.6       1.3      23.1       3.5 
    20.9     242.0      6.07     -38.5     -78.1       8.3       2.8      19.4       3.1 
   22.81    247.47      2.07     -33.1     -80.2       3.1       2.4      22.6      -2.9 
    23.2    241.87      2.28     -38.3     -64.8       3.2       3.6      25.6       0.7 
   22.88    245.16       3.0     -38.6     -70.5       4.8       2.8      26.2      -0.5 
   23.13    237.88      0.65     -52.2     -70.7       1.1       3.5      27.6       4.3 
    22.3    250.76     11.92     -29.0     -84.9      18.6      -0.3      24.4       1.3 
   18.39    239.31      4.41     -42.8     -68.0       6.8       4.2      25.0       5.1 
   23.13    240.52      6.59     -40.3     -76.9       9.2       1.9      24.7      -0.4 
   21.65    238.33      4.48     -45.9     -73.2       6.5       1.7      21.4      -1.6 
   22.94     245.2      2.18     -37.7     -79.0       3.2       0.6      27.5       1.9 
   20.47    245.38      9.93     -35.2     -74.2      15.5       4.7      23.0       3.7 
   23.15    245.99      2.96     -33.4     -71.1       4.4       0.0      22.8       0.3 
   21.39    247.16     10.94     -30.1     -78.4      15.7       3.4      20.7      -0.3 
   20.51    240.03      6.32     -40.6     -81.6       8.8       4.9      22.5       2.3 
   23.16    248.45      10.0     -27.3     -77.8      14.6       2.9      24.5       0.6 
   23.16    239.17      4.12     -46.8     -78.0       6.1       2.1      25.5      -1.1 
   22.42    238.21      4.03     -47.6     -62.6       6.1      -2.7      26.3       2.7 
   23.08    247.59      6.87     -33.5     -76.6      10.3       2.5      21.4       4.0 
   20.45    241.65      5.45     -38.3     -75.8       7.3       1.7      24.7       4.6 
   23.04    248.26      5.23     -30.4     -78.1       7.8       2.3      28.9       2.4 
    23.2    241.33      4.75     -35.6     -79.2       7.6      -2.7      25.7       1.7 
   22.63    248.99      0.61     -29.1     -71.2       0.9       4.5      24.1       0.1 
   22.91    237.94       2.7     -38.7     -72.2       3.8       3.4      26.5       2.4 
   22.53    243.38       6.1     -38.8     -81.7       8.9       0.3      24.1       3.2 
   22.88    241.58      4.12     -39.8     -75.5       5.8       3.1      24.7       4.0 
   21.84    246.82      1.96     -36.1     -79.6       2.9       1.3      25.0       0.5 
   23.18    245.06      5.41     -37.2     -74.8       7.8       2.7      26.5       1.7 
   21.61    244.71      5.97     -31.7     -74.3       8.8      -2.9      26.1      -0.1 
   19.37    243.17      8.01     -35.9     -78.1      11.7       6.1      27.7       3.2 
   23.06    233.21      7.11     -50.7     -63.0      10.2       0.0      24.6       5.1 
   23.07    246.15      2.45     -33.4     -83.1       3.7       4.8      24.6       4.4 
   23.07    238.11      7.27     -46.7     -69.6      10.6       3.8      24.6       5.0 
   21.29    240.56      9.95     -37.3     -76.5      13.5      -1.2      26.8       5.4 
   22.56     245.8      5.15     -32.4     -83.5       7.4       2.3      23.5       4.8 
   23.13    242.87     10.33     -39.2     -77.7      14.4       1.5      23.2       7.5 
   20.02    241.88      6.18     -38.1     -67.0       8.9      -0.8      24.8       1.5 
   23.06    241.88      4.86     -39.8     -73.5       7.4       2.0      26.1       3.3 
   22.41    243.44      4.27     -35.6     -80.5       6.7      -2.7      22.1       3.2 
   22.77    240.86      8.74     -40.8     -73.8      13.4       2.5      24.5       3.1 
   23.06    243.65      3.55     -37.8     -80.1       5.1       4.0      24.0       2.8 
   23.14    242.32      8.04     -42.2     -79.2      10.7       4.7      24.1       4.7 
   22.73     244.3      6.27     -37.8     -77.2       9.9      -0.1      26.5       0.7 
   22.92    242.67      3.69     -42.6     -79.2       5.7       2.8      25.8      -1.9 
   22.88    238.11      1.89     -43.1     -72.0       2.7       2.3      25.9       4.6 
   23.11    242.03      9.11     -42.9     -75.7      12.0       4.2      25.5       5.4 
   22.64    234.55      9.17     -47.3     -67.8      14.1      -0.8      25.1       0.5 
    22.9    241.91      7.65     -40.5     -83.3      12.6       2.6      24.8       2.6 
   23.09    239.94      8.53     -40.7     -81.0      13.4       4.0      24.7       2.2 
    22.9     249.1      7.65     -28.7     -81.8      12.2       0.2      26.5       2.9 
   20.85    244.45      5.13     -36.9     -77.0       8.3       4.1      24.5      -0.0 
   23.19    238.49      0.66     -44.2     -67.6       0.9       2.7      24.5       4.7 
   23.16    244.09      4.98     -39.6     -82.7       7.5       2.6      26.7       1.4 
    22.6    243.56      3.77     -38.6     -76.3       5.7       0.1      26.2       0.4 
   21.81    244.72      8.81     -35.9     -73.9      14.7       2.0      23.2      -1.0 
   23.02    239.85      3.12     -40.7     -63.9       4.9       3.9      21.4      -1.8 
   22.78    244.22      2.53     -38.0     -79.8       3.6       2.3      21.8       3.0 
   22.87    243.08       2.1     -40.6     -66.7       3.2       0.7      24.2       2.4 
   20.26    235.64      2.81     -47.9     -73.0       4.2       1.6      24.1       1.5 
   23.14    250.49      2.65     -28.3     -73.1       4.2       4.4      22.3       5.2 
   23.15    239.42      7.68     -38.2     -76.0      11.9       0.4      22.6       0.2 
   22.85    245.59      0.55     -38.5     -70.1       0.8      -0.6      24.4       0.5 
   22.93    242.62      8.91     -40.9     -76.5      12.0      -3.6      23.6       4.7 
   22.88    243.91       4.6     -37.0     -75.5       6.4       4.5      27.1       4.6 
   22.53    239.66      6.96     -43.4     -68.6       9.3       4.8      25.0       0.1 
   22.89     243.4     10.33     -34.9     -69.4      15.4       1.9      22.4       4.8 
    23.0    248.09      6.19     -29.4     -82.7       8.8       1.3      21.6       2.3 
   23.05    242.49       3.9     -40.3     -74.8       5.3       0.5      26.3      -0.8 
    22.7    243.16       5.6     -42.0     -73.2       7.8       3.8      24.9       3.3 
   22.98    247.11      6.05     -33.3     -75.4       8.4       0.3      23.6       1.4 
   23.17    244.17      5.71     -42.4     -74.4       8.7       2.3      26.0       4.1 
   23.01    245.56       4.4     -34.6     -74.5       5.9       3.2      23.5       1.9 
   22.88    239.96      4.68     -42.5     -74.6       6.7       1.6      24.4       1.0 
   23.18    247.86      7.54     -32.9     -73.8       9.6      -0.3      24.7      -1.1 
   22.86    244.73      7.18     -35.4     -73.7      10.1       4.0      24.2       4.3 
   22.78    236.86      2.01     -45.7     -70.5       3.1      -1.6      22.1       2.0 
    22.9    247.93      8.22     -28.2     -70.4      12.5       1.1      23.6      -1.4 
   23.07    241.51      2.38     -39.0     -79.2       3.3       4.5      26.0       2.7 
   20.18    244.31      5.23     -32.8     -78.9       8.0       5.7      24.5       2.4 
    22.5    239.26      5.59     -40.4     -78.0       8.1       1.0      26.6       0.9 
   22.21    244.17      2.71     -40.3     -76.6       4.0       5.6      20.4       1.1 
   21.28    240.54     10.76     -42.8     -72.1      16.4      -1.2      24.5      -0.1 
   22.98    233.77     -1.93     -48.1     -65.4      -2.6       3.8      24.2      -0.2 
   22.91     244.5      8.77     -36.4     -81.2      12.3       1.9      24.6       1.4 
   22.85     244.4      -1.8     -35.0     -74.4      -2.4       2.5      25.4       1.8 
   22.51    248.61      7.23     -28.2     -79.0      10.7       6.7      23.3       1.4 
    23.2    242.74      4.87     -38.4     -77.7       7.0       2.4      24.9       2.7 
   23.14    243.17      7.43     -36.8     -76.2      10.6       1.8      24.5       2.9 
   20.02     245.1      5.72     -30.4     -77.1       8.5       1.7      22.7       1.3 
   23.17    238.79      1.03     -43.4     -70.4       1.6       3.9      25.0       3.6 
   22.43    242.92      5.96     -39.8     -69.6       9.4       7.3      24.1       2.9 
   20.84     248.2     -0.92     -31.1     -69.9      -1.4      -0.1      24.3       5.0 
    23.0    242.68      7.26     -39.0     -78.7      11.6       2.7      23.5      -0.5 
   22.77    243.21      9.11     -41.1     -77.4      13.3       0.9      27.1      -0.7 
   23.15    237.29      7.64     -50.2     -74.7      11.9       2.3      22.5       1.6 
   22.85    238.18      4.48     -42.2     -79.0       7.0       2.3      19.9       5.1 
   22.95    242.51      2.26     -38.3     -74.0       3.6       5.9      26.7       2.1 
   22.91    240.57      3.92     -36.7     -74.0       5.8       0.5      26.8       2.8 
   19.49    244.28      4.38     -37.2     -81.6       6.4       1.7      24.7       0.1 
   22.99    240.61      3.85     -41.6     -70.1       6.1       4.9      21.7      -1.0 
   23.16    243.33      7.05     -38.4     -77.2      11.6       4.0      28.1       3.8 
   23.09    244.79      6.66     -35.7     -77.1       9.3      -0.5      21.8       4.0 
